Date	宇和島市	大洲市	西予市	松野町	鬼北町
2018-07-13					
2018-07-14		400			
2018-07-15					
2018-07-16					
2018-07-17	200	150	300		
2018-07-18	200	150	300		
2018-07-19	200	150	300		
2018-07-20	200	150	300		
2018-07-21	400	150	300		
2018-07-22	400	150	300		
2018-07-23	200	150	300		
2018-07-24	200	150	300		
2018-07-25	200	150	300		
2018-07-26	200	150	300		
2018-07-27	200	150	300		
2018-07-28	400	150	300		
2018-07-29	0	0	0		
2018-07-30	0	0	0		
2018-07-31	100	180	200		
2018-08-01	200	130	0		
2018-08-02	200	140	300		
2018-08-03	200	100	300		
2018-08-04	300	120	300		
2018-08-05	300	100	200		
2018-08-06	300	110	130		
2018-08-07	300	110	70	
2018-08-08	300	90	0	
2018-08-09	300	90	115	
2018-08-10	300	65	60	
2018-08-11	300	60	80	
